Time,Fx_app_arm,Fy_app_arm,Fz_app_arm,Tx_app_arm,Ty_app_arm,Tz_app_arm,LC_sensor_x,LC_sensor_y,LC_sensor_z,Yaw,Pitch,Roll,Fx_recon_arm,Fy_recon_arm,Fz_recon_arm
0.0002,0.0,0.0,0.0,0.0,0.0,0.0,7.13332594160564,1.1830842756607713,5.749811594945678,-0.16650732850979402,1.1935314285915706,-1.3893218507892497,-4.182386701654257,-3.0967440717332866,5.02022915993984
0.0022000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,5.929020878917507,0.8489268037711837,5.886016390934576,-0.16936819603854095,1.1868497264270361,-1.3812989667186937,10.310788652363842,7.219776134606357,-6.50222518072675
0.004200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.930144085806087,0.4334765305887534,6.1947469233386805,-0.17584727170330225,1.1712959038414303,-1.3626523086275388,8.604741391942298,5.349252462664862,-5.601094613749983
0.006199999999999997,0.0,0.0,0.0,0.0,0.0,0.0,4.054318075541365,0.0379162796053725,6.5688033710920175,-0.18489081618184913,1.1485299975229608,-1.3353872820522374,7.186176807906251,3.5975863221252684,-4.857148097879238
0.008199999999999995,0.0,0.0,0.0,0.0,0.0,0.0,3.248491592401504,-0.2750819459334036,6.939331446223324,-0.19550930660605778,1.1199931137061547,-1.3012386271830683,6.001396308009965,2.0689397546337145,-4.169353237012398
0.0102,0.0,0.0,0.0,0.0,0.0,0.0,2.48772114309327,-0.47763476979049607,7.262035083068281,-0.20685700851724165,1.0869243833891478,-1.2617059528281183,5.005250841726423,0.8133140819711879,-3.4887577469740405
0.012200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.7672573427456717,-0.5695892521472522,7.5098363219829904,-0.21827728874152968,1.0503813620007048,-1.2180813580423717,4.1580889508107814,-0.15535037529222184,-2.803080622190713
0.014200000000000011,0.0,0.0,0.0,0.0,0.0,0.0,1.0935277327764188,-0.568974738893355,7.668774487734954,-0.22931435785794083,1.0112618374003601,-1.1714714201440686,3.425982055717135,-0.8464695680943213,-2.122309734558965
0.016200000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.4769817599329598,-0.5021817318333988,7.735239632197192,-0.2396967583991212,0.9703252334088166,-1.122816047718375,2.7818653892962164,-1.2838969801210462,-1.4669565052550024
0.0182,0.0,0.0,0.0,0.0,0.0,0.0,-0.0723650494552584,-0.3961774467984364,7.713626222824034,-0.24930281999014525,0.9282122954538137,-1.0729060050604438,2.2060278544089043,-1.4997949034484441,-0.8596794486129643
0.02019999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.547130678606326,-0.2738246304220576,7.6141070492964555,-0.258119428308567,0.8854623569087455,-1.0223999372744363,1.6854831026250259,-1.5304564441835078,-0.3201473427058622
0.022199999999999977,0.0,0.0,0.0,0.0,0.0,0.0,-0.943331455037709,-0.15203184983751752,7.450529076101952,-0.2662029681941539,0.8425280237403275,-0.9718409448577239,1.212534419087044,-1.4133784191506433,0.1375164731712365
0.024199999999999965,0.0,0.0,0.0,0.0,0.0,0.0,-1.1445914467638405,-0.010985594809688562,7.3203273197225265,-0.27366907476110836,0.7997863994523178,-0.9216090235658695,0.8287715897641315,-1.3734222935204874,0.2827032307450542
0.026199999999999952,0.0,0.0,0.0,0.0,0.0,0.0,-1.262662239975436,0.029746413259152987,7.212448522971501,-0.28068572835576033,0.757409288027828,-0.8717735271703877,1.0119105664818235,-1.1610765672745804,0.45800786905228763
0.02819999999999994,0.0,0.0,0.0,0.0,0.0,0.0,-1.3662255393108713,0.0694508533013067,7.094958382406469,-0.28732881791577775,0.7153158300601632,-0.8224572618770635,1.1891250007444192,-0.9483588386330886,0.6127401404023411
0.03019999999999993,0.0,0.0,0.0,0.0,0.0,0.0,-1.4548541399781134,0.10744502657561297,6.969968501297904,-0.29366614649535444,0.6734087456329728,-0.7737839453519784,1.3572105856397378,-0.7386405100064994,0.7472919638228013
0.032199999999999916,0.0,0.0,0.0,0.0,0.0,0.0,-1.5284478981100933,0.143153236293172,6.839527603236003,-0.2997691720275058,0.6315963434051425,-0.7258601977166819,1.5134791503725828,-0.5347504027699845,0.8624843865593863
0.034199999999999904,0.0,0.0,0.0,0.0,0.0,0.0,-1.5871901076314192,0.1761085439231455,6.7055763161877975,-0.30571302133372846,0.5897937568373709,-0.6787753257248643,1.6557766735268424,-0.33898061541933194,0.9594321175649911
0.03619999999999989,0.0,0.0,0.0,0.0,0.0,0.0,-1.6315016431394924,0.20595006382357484,6.569913983676123,-0.3115764584958783,0.5479238803625708,-0.6326011835288919,1.7824746895669994,-0.15311445665141166,1.0394270655097204
0.03819999999999988,0.0,0.0,0.0,0.0,0.0,0.0,-1.6619955152765828,0.23241688170851152,6.43417648012285,-0.3174418829905301,0.5059180245975773,-0.5873920957329869,1.892440553149773,0.02153162767821737,1.1038425171836341
0.04019999999999987,0.0,0.0,0.0,0.0,0.0,0.0,-1.6794338152003288,0.2553396247196078,6.299823608031161,-0.3233954238655861,0.46371632067763896,-0.5431848144616017,1.9849921827249108,0.18405913504982963,1.1540573946401484
0.042199999999999856,0.0,0.0,0.0,0.0,0.0,0.0,-1.6846883948523586,0.27463059613726526,6.168134463163589,-0.329527188771714,0.4212679117514764,-0.4999984706298264,2.059842595191854,0.33393719685230727,1.1913984771286417
0.044199999999999844,0.0,0.0,0.0,0.0,0.0,0.0,-1.678706080352284,0.29027324247446745,6.0402091250672605,-0.33593172149583855,0.3785309748247938,-0.45783446957290713,2.1170389141497594,0.4709550085056218,1.2170975220109497
0.04619999999999983,0.0,0.0,0.0,0.0,0.0,0.0,-1.6624787669198402,0.3023115659634416,5.916975117690755,-0.34270871950481785,0.33547261894700386,-0.4166762717184531,2.1568997206809284,0.5951797568475456,1.2322597564198907
