Time,rpm1,rpm2,rpm3,rpm4,Thrust1,Thrust2,Thrust3,Thrust4,Thrust_total,Loadcell_Fx,Loadcell_Fy,Loadcell_Fz
0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.973488816536806e-05,-1.1603013061302879e-05,6.824367169330309
0.0022000000000000006,258.27212142536064,258.27212142536064,258.27212142536064,258.27212142536064,1.3166938306015463e-05,1.3166938306015463e-05,1.3166938306015463e-05,1.3166938306015463e-05,5.2667753224061853e-05,2.3147507494866396e-05,-1.2169219813026256e-05,6.824403089581703
0.004200000000000001,516.5034586887627,516.5034586887627,516.5034586887627,516.5034586887627,5.265943670361551e-05,5.265943670361551e-05,5.265943670361551e-05,5.265943670361551e-05,0.00021063774681446203,3.317395810603561e-05,-1.2698435958668565e-05,6.824510826104419
0.006199999999999997,774.6532340685395,774.6532340685395,774.6532340685395,774.6532340685395,0.00011845255088435359,0.00011845255088435359,0.00011845255088435359,0.00011845255088435359,0.00047381020353741437,4.98081399098607e-05,-1.3185568097307935e-05,6.824690312925071
0.008199999999999995,1032.6806827225914,1032.6806827225914,1032.6806827225914,1032.6806827225914,0.00021050472450714298,0.00021050472450714298,0.00021050472450714298,0.00021050472450714298,0.0008420188980285719,7.303979055741694e-05,-1.3607556292354658e-05,6.824941440081557
0.0102,1290.5450591256285,1290.5450591256285,1290.5450591256285,1290.5450591256285,0.00032875781544613303,0.00032875781544613303,0.00032875781544613303,0.00032875781544613303,0.0013150312617845321,0.00010285449901495656,-1.3923666309043964e-05,6.825264053699549
0.012200000000000006,1548.2056435033567,1548.2056435033567,1548.2056435033567,1548.2056435033567,0.00047313713251452067,0.00047313713251452067,0.00047313713251452067,0.00047313713251452067,0.0018925485300580827,0.00013923372665193272,-1.4075640625165456e-05,6.825657956098816
0.014200000000000011,1805.6217482626064,1805.6217482626064,1805.6217482626064,1805.6217482626064,0.0006435514826411057,0.0006435514826411057,0.0006435514826411057,0.0006435514826411057,0.002574205930564423,0.00018215483574559,-1.3987722688183641e-05,6.826122905929238
0.016200000000000013,2062.752724416374,2062.752724416374,2062.752724416374,2062.752724416374,0.0008398932284697891,0.0008398932284697891,0.0008398932284697891,0.0008398932284697891,0.0033595729138791563,0.0002315911253467753,-1.3566566909958491e-05,6.826658618336334
0.0182,2319.557968002766,2319.557968002766,2319.557968002766,2319.557968002766,0.0010620383563456324,0.0010620383563456324,0.0010620383563456324,0.0010620383563456324,0.00424815342538253,0.00028751187447367637,-1.2701045298063202e-05,6.827264765156065
0.02019999999999999,2575.9969264968418,2575.9969264968418,2575.9969264968418,2575.9969264968418,0.0013098465546445461,0.0013098465546445461,0.0013098465546445461,0.0013098465546445461,0.005239386218578185,0.0003498823926207221,-1.1261960364569832e-05,6.827940975138648
0.022199999999999977,2832.0291052143198,2832.0291052143198,2832.0291052143198,2832.0291052143198,0.001583161302397112,0.001583161302397112,0.001583161302397112,0.001583161302397112,0.006332645209588448,0.00041866407759665714,-9.101672965439717e-06,6.828686834201032
